0.875	0.875	0.875	1.554	1.554	1.554	2
1.08	1.08	1.08	2.109	2.109	2.109	3
1.697	1.697	1.697	2.254	2.254	2.254	4
2.318	2.318	2.318	2.741	2.741	2.741	5
2.563	2.563	2.563	2.796	2.796	2.796	6
2.927	2.927	2.927	2.13	2.13	2.13	8
2.518	2.518	2.518	0.981	0.981	0.981	10
1.319	1.319	1.319	-0.518	-0.518	-0.518	12
-0.07	-0.07	-0.07	-1.57	-1.57	-1.57	14
-1.353	-1.353	-1.353	-2.19	-2.19	-2.19	16
-2.228	-2.228	-2.228	-1.174	-1.174	-1.174	18
-2.703	-2.703	-2.703	0.296	0.296	0.296	20
-2.672	-2.672	-2.672	1.534	1.534	1.534	22
-2.03	-2.03	-2.03	2.327	2.327	2.327	24
-1.275	-1.275	-1.275	2.513	2.513	2.513	26
-0.047	-0.047	-0.047	1.776	1.776	1.776	28
1.058	1.058	1.058	0.613	0.613	0.613	30
